recency,frequency,monetary
24.0,19.0,4602.0
17.0,30.0,6544.0
20.0,27.0,5760.0
26.0,17.0,5070.0
24.0,32.0,4020.0
10.0,34.0,5675.0
20.0,31.0,4200.0
14.0,24.0,3764.0
14.0,20.0,5950.0
17.0,30.0,5254.0
16.0,23.0,5737.0
22.0,31.0,5255.0
19.0,26.0,5685.0
16.0,30.0,4479.0
17.0,27.0,4173.0
17.0,29.0,5545.0
22.0,25.0,4357.0
14.0,34.0,4448.0
17.0,26.0,4636.0
11.0,27.0,5014.0
2.0,34.0,4717.0
18.0,18.0,3900.0
19.0,19.0,4485.0
11.0,30.0,3221.0
26.0,19.0,5500.0
8.0,35.0,3718.0
15.0,23.0,4116.0
14.0,21.0,5042.0
23.0,35.0,4408.0
22.0,32.0,6234.0
16.0,34.0,3966.0
17.0,30.0,5214.0
11.0,21.0,4969.0
5.0,35.0,4066.0
13.0,24.0,5419.0
16.0,29.0,4863.0
21.0,30.0,5617.0
21.0,24.0,5659.0
13.0,28.0,6731.0
13.0,30.0,6069.0
10.0,27.0,4705.0
8.0,20.0,4808.0
6.0,26.0,5880.0
25.0,32.0,5524.0
12.0,22.0,5512.0
13.0,24.0,3706.0
9.0,23.0,4981.0
19.0,34.0,4410.0
7.0,28.0,5224.0
14.0,27.0,4921.0
11.0,21.0,5728.0
17.0,28.0,5254.0
12.0,22.0,5629.0
9.0,25.0,4627.0
15.0,22.0,4244.0
17.0,28.0,4672.0
15.0,28.0,4986.0
17.0,24.0,5303.0
12.0,27.0,6807.0
13.0,20.0,4966.0
12.0,18.0,4235.0
13.0,27.0,4723.0
11.0,26.0,4629.0
6.0,28.0,5385.0
16.0,37.0,3767.0
13.0,30.0,5051.0
7.0,20.0,5125.0
17.0,31.0,5186.0
10.0,18.0,4522.0
15.0,23.0,4810.0
19.0,25.0,3861.0
16.0,34.0,4605.0
21.0,21.0,4566.0
9.0,21.0,5333.0
17.0,25.0,4075.0
12.0,22.0,5625.0
11.0,31.0,6196.0
12.0,20.0,3344.0
13.0,19.0,5341.0
15.0,23.0,5542.0
50.0,6.0,1261.0
54.0,6.0,1054.0
58.0,9.0,1807.0
56.0,5.0,1643.0
55.0,5.0,793.0
35.0,7.0,1642.0
77.0,8.0,1826.0
76.0,15.0,1524.0
48.0,6.0,1426.0
38.0,11.0,1177.0
68.0,10.0,921.0
51.0,4.0,1820.0
62.0,10.0,1376.0
55.0,4.0,1407.0
70.0,0.0,2193.0
70.0,10.0,1774.0
49.0,3.0,1648.0
39.0,9.0,1557.0
36.0,6.0,2108.0
69.0,13.0,2188.0
42.0,11.0,1872.0
52.0,7.0,1733.0
51.0,6.0,662.0
59.0,4.0,1549.0
31.0,7.0,1448.0
63.0,7.0,1538.0
68.0,7.0,1877.0
61.0,8.0,404.0
55.0,10.0,1272.0
61.0,9.0,1608.0
66.0,6.0,1313.0
18.0,4.0,933.0
89.0,12.0,1848.0
66.0,6.0,1611.0
50.0,6.0,1112.0
54.0,6.0,1626.0
67.0,2.0,1829.0
58.0,7.0,1502.0
30.0,7.0,1820.0
91.0,10.0,1531.0
58.0,10.0,1342.0
75.0,8.0,1036.0
50.0,11.0,1466.0
83.0,9.0,1578.0
64.0,8.0,1850.0
69.0,8.0,1454.0
44.0,7.0,1683.0
78.0,7.0,1114.0
70.0,7.0,1187.0
80.0,5.0,1456.0
51.0,9.0,1078.0
53.0,5.0,1828.0
95.0,11.0,1685.0
44.0,7.0,1612.0
58.0,8.0,1636.0
77.0,9.0,2308.0
61.0,10.0,1312.0
69.0,3.0,619.0
54.0,7.0,1580.0
66.0,11.0,1480.0
40.0,3.0,1293.0
85.0,9.0,1108.0
58.0,1.0,1324.0
50.0,5.0,1573.0
70.0,8.0,1299.0
53.0,3.0,2465.0
40.0,5.0,1116.0
40.0,4.0,1183.0
70.0,13.0,585.0
58.0,8.0,1601.0
58.0,10.0,693.0
76.0,7.0,1284.0
43.0,7.0,1390.0
49.0,3.0,1216.0
54.0,7.0,2196.0
61.0,6.0,1898.0
59.0,11.0,2028.0
56.0,11.0,1147.0
59.0,12.0,1951.0
58.0,11.0,1698.0
169.0,6.0,482.0
176.0,3.0,774.0
127.0,3.0,707.0
139.0,0.0,301.0
172.0,2.0,256.0
84.0,3.0,439.0
188.0,4.0,706.0
164.0,4.0,486.0
149.0,3.0,380.0
156.0,4.0,810.0
124.0,4.0,557.0
141.0,0.0,36.0
178.0,3.0,563.0
182.0,4.0,604.0
217.0,4.0,545.0
148.0,2.0,590.0
134.0,2.0,487.0
137.0,1.0,236.0
125.0,3.0,426.0
148.0,5.0,311.0
160.0,0.0,313.0
149.0,2.0,247.0
177.0,1.0,590.0
144.0,4.0,520.0
141.0,2.0,410.0
135.0,2.0,370.0
109.0,3.0,495.0
111.0,4.0,716.0
121.0,2.0,99.0
183.0,-2.0,575.0
172.0,4.0,391.0
184.0,4.0,123.0
117.0,3.0,111.0
101.0,1.0,317.0
133.0,4.0,544.0
154.0,4.0,579.0
162.0,2.0,312.0
176.0,3.0,703.0
157.0,2.0,785.0
194.0,3.0,579.0
144.0,1.0,382.0
127.0,4.0,725.0
108.0,2.0,651.0
128.0,3.0,673.0
156.0,1.0,369.0
128.0,2.0,-67.0
173.0,3.0,923.0
185.0,1.0,178.0
91.0,3.0,493.0
172.0,2.0,976.0
94.0,0.0,566.0
160.0,1.0,690.0
181.0,4.0,200.0
152.0,4.0,144.0
118.0,3.0,393.0
135.0,4.0,718.0
143.0,3.0,431.0
145.0,3.0,341.0
145.0,5.0,540.0
147.0,1.0,716.0
155.0,4.0,211.0
120.0,2.0,258.0
144.0,3.0,342.0
188.0,3.0,719.0
140.0,2.0,547.0
139.0,1.0,926.0
177.0,3.0,687.0
86.0,6.0,493.0
180.0,3.0,753.0
134.0,3.0,542.0
154.0,2.0,359.0
152.0,3.0,636.0
174.0,4.0,361.0
143.0,2.0,442.0
133.0,2.0,766.0
182.0,4.0,480.0
91.0,2.0,339.0
151.0,3.0,407.0
116.0,4.0,704.0
131.0,5.0,389.0
